🖼️  Generating 10 example images (v31 - full feature set)...
⏱️  Timeout: 180 seconds

📁 Found 5062 source images

📸 Generating images...

   1/10:   4.5s (4 photos, global warp applied)
   2/10:   9.5s (4 photos, global warp applied)
   3/10:   9.4s (5 photos, global warp applied)
   4/10:   4.3s (4 photos, global warp applied)
   5/10:   9.7s (4 photos, global warp applied)
   6/10:   9.8s (5 photos, global warp applied)
   7/10:   5.1s (5 photos, global warp applied)
   8/10:   9.6s (4 photos, global warp applied)
   9/10:  11.5s (5 photos, global warp applied)
  10/10:  11.8s (5 photos, global warp applied)

============================================================
📊 VERIFICATION RESULTS
============================================================

  Total photos: 45
  Photos with rotation (±15°): 4/45
  Photos in bounds: 45/45
  Valid trapezoids: 45/45
  Subtle global perspective: 10/10

✅ Done! 10 images in 85.4s
📂 /Users/krys.petrie/dev/photo-pose-detector/data_generator/../data
   - example_01.jpg (199 KB)
   - example_02.jpg (176 KB)
   - example_03.jpg (188 KB)
   - example_04.jpg (222 KB)
   - example_05.jpg (161 KB)
   - example_06.jpg (163 KB)
   - example_07.jpg (176 KB)
   - example_08.jpg (188 KB)
   - example_09.jpg (210 KB)
   - example_10.jpg (206 KB)
============================================================
BATCH DATASET GENERATOR (v31)
============================================================
Total: 5000 (4000 train, 1000 val)
Started: 2026-04-15 14:42:55
============================================================
Source images: 5062
  [    1/5000] 4.5s/img | ETA: 6.2h | Photos: 4
  [ 3410/5000] 9.5s/img | ETA: 3.6h | Photos: 15949
  [ 3420/5000] 11.7s/img | ETA: 3.6h | Photos: 15998
  [ 3430/5000] 5.2s/img | ETA: 3.6h | Photos: 16045
  [ 3440/5000] 4.2s/img | ETA: 3.5h | Photos: 16092
  [ 3450/5000] 5.1s/img | ETA: 3.5h | Photos: 16139
  [ 3460/5000] 9.5s/img | ETA: 3.5h | Photos: 16184
  [ 3470/5000] 11.8s/img | ETA: 3.5h | Photos: 16232
  [ 3480/5000] 9.8s/img | ETA: 3.5h | Photos: 16280
  [ 3490/5000] 4.2s/img | ETA: 3.4h | Photos: 16325
  [ 3500/5000] 9.9s/img | ETA: 3.4h | Photos: 16372
  ✓ Checkpoint at 3500
  [ 3510/5000] 4.4s/img | ETA: 3.4h | Photos: 16419
  [ 3520/5000] 5.1s/img | ETA: 3.4h | Photos: 16468
  [ 3530/5000] 9.6s/img | ETA: 3.3h | Photos: 16514
  [ 3540/5000] 5.6s/img | ETA: 3.3h | Photos: 16560
  [ 3550/5000] 5.1s/img | ETA: 3.3h | Photos: 16608
  [ 3560/5000] 4.4s/img | ETA: 3.3h | Photos: 16654
  [ 3570/5000] 5.3s/img | ETA: 3.2h | Photos: 16701
  [ 3580/5000] 5.4s/img | ETA: 3.2h | Photos: 16749
  [ 3590/5000] 4.5s/img | ETA: 3.2h | Photos: 16795
  [ 3600/5000] 11.7s/img | ETA: 3.2h | Photos: 16842
  ✓ Checkpoint at 3600
  [ 3610/5000] 4.3s/img | ETA: 3.1h | Photos: 16889
  [ 3620/5000] 12.1s/img | ETA: 3.1h | Photos: 16937
  [ 3630/5000] 5.7s/img | ETA: 3.1h | Photos: 16983
  [ 3640/5000] 4.7s/img | ETA: 3.1h | Photos: 17028
  [ 3650/5000] 4.6s/img | ETA: 3.1h | Photos: 17074
  [ 3660/5000] 4.5s/img | ETA: 3.0h | Photos: 17122
  [ 3670/5000] 6.1s/img | ETA: 3.0h | Photos: 17168
  [ 3680/5000] 5.4s/img | ETA: 3.0h | Photos: 17216
  [ 3690/5000] 10.5s/img | ETA: 3.0h | Photos: 17264
  [ 3700/5000] 11.5s/img | ETA: 2.9h | Photos: 17310
  ✓ Checkpoint at 3700
  [ 3710/5000] 9.8s/img | ETA: 2.9h | Photos: 17356
  [ 3720/5000] 11.7s/img | ETA: 2.9h | Photos: 17403
  [ 3730/5000] 9.3s/img | ETA: 2.9h | Photos: 17452
  [ 3740/5000] 9.9s/img | ETA: 2.9h | Photos: 17498
  [ 3750/5000] 4.2s/img | ETA: 2.8h | Photos: 17544
  [ 3760/5000] 11.1s/img | ETA: 2.8h | Photos: 17591
  [ 3770/5000] 11.1s/img | ETA: 2.8h | Photos: 17641
  [ 3780/5000] 9.7s/img | ETA: 2.8h | Photos: 17687
  [ 3790/5000] 9.8s/img | ETA: 2.7h | Photos: 17734
  [ 3800/5000] 5.3s/img | ETA: 2.7h | Photos: 17783
  ✓ Checkpoint at 3800
  [ 3810/5000] 9.6s/img | ETA: 2.7h | Photos: 17831
  [ 3820/5000] 4.4s/img | ETA: 2.7h | Photos: 17879
  [ 3830/5000] 11.3s/img | ETA: 2.6h | Photos: 17925
  [ 3840/5000] 5.2s/img | ETA: 2.6h | Photos: 17972
  [ 3850/5000] 4.3s/img | ETA: 2.6h | Photos: 18017
  [ 3860/5000] 9.0s/img | ETA: 2.6h | Photos: 18063
  [ 3870/5000] 9.1s/img | ETA: 2.6h | Photos: 18109
  [ 3880/5000] 4.3s/img | ETA: 2.5h | Photos: 18156
  [ 3890/5000] 4.2s/img | ETA: 2.5h | Photos: 18203
  [ 3900/5000] 11.7s/img | ETA: 2.5h | Photos: 18249
  ✓ Checkpoint at 3900
  [ 3910/5000] 9.8s/img | ETA: 2.5h | Photos: 18295
  [ 3920/5000] 4.4s/img | ETA: 2.4h | Photos: 18342
  [ 3930/5000] 4.2s/img | ETA: 2.4h | Photos: 18388
  [ 3940/5000] 11.4s/img | ETA: 2.4h | Photos: 18436
  [ 3950/5000] 11.5s/img | ETA: 2.4h | Photos: 18483
  [ 3960/5000] 10.1s/img | ETA: 2.3h | Photos: 18529
  [ 3970/5000] 9.6s/img | ETA: 2.3h | Photos: 18574
  [ 3980/5000] 4.2s/img | ETA: 2.3h | Photos: 18622
  [ 3990/5000] 4.2s/img | ETA: 2.3h | Photos: 18667
  [ 4000/5000] 5.2s/img | ETA: 2.3h | Photos: 18715
  ✓ Checkpoint at 4000
  [ 4010/5000] 11.6s/img | ETA: 2.2h | Photos: 18762
  [ 4020/5000] 9.7s/img | ETA: 2.2h | Photos: 18807
  [ 4030/5000] 11.5s/img | ETA: 2.2h | Photos: 18855
  [ 4040/5000] 11.8s/img | ETA: 2.2h | Photos: 18902
  [ 4050/5000] 11.8s/img | ETA: 2.1h | Photos: 18951
  [ 4060/5000] 9.5s/img | ETA: 2.1h | Photos: 18998
  [ 4070/5000] 11.7s/img | ETA: 2.1h | Photos: 19046
  [ 4080/5000] 9.2s/img | ETA: 2.1h | Photos: 19091
  [ 4090/5000] 11.7s/img | ETA: 2.1h | Photos: 19139
  [ 4100/5000] 9.4s/img | ETA: 2.0h | Photos: 19184
  ✓ Checkpoint at 4100
  [ 4110/5000] 5.1s/img | ETA: 2.0h | Photos: 19231
  [ 4120/5000] 5.2s/img | ETA: 2.0h | Photos: 19278
  [ 4130/5000] 5.2s/img | ETA: 2.0h | Photos: 19325
  [ 4140/5000] 9.8s/img | ETA: 1.9h | Photos: 19372
  [ 4150/5000] 4.4s/img | ETA: 1.9h | Photos: 19418
  [ 4160/5000] 11.4s/img | ETA: 1.9h | Photos: 19464
  [ 4170/5000] 11.4s/img | ETA: 1.9h | Photos: 19512
  [ 4180/5000] 5.6s/img | ETA: 1.8h | Photos: 19558
  [ 4190/5000] 12.8s/img | ETA: 1.8h | Photos: 19605
  [ 4200/5000] 5.6s/img | ETA: 1.8h | Photos: 19653
  ✓ Checkpoint at 4200
  [ 4210/5000] 12.6s/img | ETA: 1.8h | Photos: 19700
  [ 4220/5000] 10.4s/img | ETA: 1.8h | Photos: 19748
  [ 4230/5000] 12.6s/img | ETA: 1.7h | Photos: 19795
  [ 4240/5000] 4.5s/img | ETA: 1.7h | Photos: 19843
  [ 4250/5000] 4.5s/img | ETA: 1.7h | Photos: 19891
  [ 4260/5000] 11.6s/img | ETA: 1.7h | Photos: 19939
  [ 4270/5000] 9.4s/img | ETA: 1.6h | Photos: 19987
  [ 4280/5000] 12.2s/img | ETA: 1.6h | Photos: 20035
  [ 4290/5000] 4.5s/img | ETA: 1.6h | Photos: 20084
  [ 4300/5000] 11.7s/img | ETA: 1.6h | Photos: 20130
  ✓ Checkpoint at 4300
  [ 4310/5000] 5.1s/img | ETA: 1.6h | Photos: 20177
  [ 4320/5000] 11.6s/img | ETA: 1.5h | Photos: 20224
  [ 4330/5000] 4.3s/img | ETA: 1.5h | Photos: 20269
  [ 4340/5000] 4.2s/img | ETA: 1.5h | Photos: 20317
  [ 4350/5000] 9.4s/img | ETA: 1.5h | Photos: 20365
  [ 4360/5000] 4.2s/img | ETA: 1.4h | Photos: 20412
  [ 4370/5000] 5.5s/img | ETA: 1.4h | Photos: 20460
  [ 4380/5000] 11.6s/img | ETA: 1.4h | Photos: 20507
  [ 4390/5000] 11.5s/img | ETA: 1.4h | Photos: 20556
  [ 4400/5000] 12.2s/img | ETA: 1.4h | Photos: 20604
  ✓ Checkpoint at 4400
  [ 4410/5000] 9.5s/img | ETA: 1.3h | Photos: 20652
  [ 4420/5000] 11.7s/img | ETA: 1.3h | Photos: 20699
  [ 4430/5000] 5.2s/img | ETA: 1.3h | Photos: 20747
  [ 4440/5000] 11.9s/img | ETA: 1.3h | Photos: 20794
  [ 4450/5000] 4.3s/img | ETA: 1.2h | Photos: 20839
  [ 4460/5000] 9.3s/img | ETA: 1.2h | Photos: 20886
  [ 4470/5000] 11.5s/img | ETA: 1.2h | Photos: 20932
  [ 4480/5000] 9.5s/img | ETA: 1.2h | Photos: 20978
  [ 4490/5000] 4.2s/img | ETA: 1.1h | Photos: 21025
  [ 4500/5000] 10.2s/img | ETA: 1.1h | Photos: 21072
  ✓ Checkpoint at 4500
  [ 4510/5000] 11.9s/img | ETA: 1.1h | Photos: 21119
  [ 4520/5000] 5.2s/img | ETA: 1.1h | Photos: 21165
  [ 4530/5000] 5.6s/img | ETA: 1.1h | Photos: 21212
  [ 4540/5000] 11.5s/img | ETA: 1.0h | Photos: 21259
  [ 4550/5000] 9.6s/img | ETA: 1.0h | Photos: 21303
  [ 4560/5000] 10.2s/img | ETA: 1.0h | Photos: 21349
  [ 4570/5000] 5.2s/img | ETA: 1.0h | Photos: 21395
  [ 4580/5000] 4.1s/img | ETA: 0.9h | Photos: 21441
  [ 4590/5000] 11.6s/img | ETA: 0.9h | Photos: 21486
  [ 4600/5000] 9.3s/img | ETA: 0.9h | Photos: 21533
  ✓ Checkpoint at 4600
  [ 4610/5000] 9.6s/img | ETA: 0.9h | Photos: 21577
  [ 4620/5000] 5.2s/img | ETA: 0.9h | Photos: 21623
  [ 4630/5000] 5.2s/img | ETA: 0.8h | Photos: 21671
  [ 4640/5000] 4.3s/img | ETA: 0.8h | Photos: 21720
  [ 4650/5000] 5.2s/img | ETA: 0.8h | Photos: 21766
  [ 4660/5000] 5.2s/img | ETA: 0.8h | Photos: 21811
  [ 4670/5000] 5.6s/img | ETA: 0.7h | Photos: 21858
  [ 4680/5000] 4.2s/img | ETA: 0.7h | Photos: 21905
  [ 4690/5000] 11.8s/img | ETA: 0.7h | Photos: 21951
  [ 4700/5000] 4.6s/img | ETA: 0.7h | Photos: 21999
  ✓ Checkpoint at 4700
  [ 4710/5000] 5.2s/img | ETA: 0.7h | Photos: 22048
  [ 4720/5000] 11.7s/img | ETA: 0.6h | Photos: 22097
  [ 4730/5000] 9.6s/img | ETA: 0.6h | Photos: 22144
  [ 4740/5000] 8.8s/img | ETA: 0.6h | Photos: 22193
  [ 4750/5000] 9.5s/img | ETA: 0.6h | Photos: 22239
  [ 4760/5000] 5.1s/img | ETA: 0.5h | Photos: 22286
  [ 4770/5000] 9.5s/img | ETA: 0.5h | Photos: 22334
  [ 4780/5000] 5.1s/img | ETA: 0.5h | Photos: 22382
  [ 4790/5000] 5.2s/img | ETA: 0.5h | Photos: 22428
  [ 4800/5000] 5.1s/img | ETA: 0.4h | Photos: 22477
  ✓ Checkpoint at 4800
  [ 4810/5000] 4.2s/img | ETA: 0.4h | Photos: 22522
  [ 4820/5000] 11.8s/img | ETA: 0.4h | Photos: 22567
  [ 4830/5000] 4.1s/img | ETA: 0.4h | Photos: 22615
  [ 4840/5000] 10.4s/img | ETA: 0.4h | Photos: 22660
  [ 4850/5000] 5.1s/img | ETA: 0.3h | Photos: 22706
  [ 4860/5000] 5.2s/img | ETA: 0.3h | Photos: 22755
  [ 4870/5000] 11.5s/img | ETA: 0.3h | Photos: 22803
  [ 4880/5000] 4.2s/img | ETA: 0.3h | Photos: 22850
  [ 4890/5000] 11.4s/img | ETA: 0.2h | Photos: 22898
  [ 4900/5000] 10.0s/img | ETA: 0.2h | Photos: 22945
  ✓ Checkpoint at 4900
  [ 4910/5000] 9.4s/img | ETA: 0.2h | Photos: 22993
  [ 4920/5000] 9.8s/img | ETA: 0.2h | Photos: 23041
  [ 4930/5000] 11.3s/img | ETA: 0.2h | Photos: 23089
  [ 4940/5000] 9.4s/img | ETA: 0.1h | Photos: 23135
  [ 4950/5000] 5.1s/img | ETA: 0.1h | Photos: 23183
  [ 4960/5000] 4.2s/img | ETA: 0.1h | Photos: 23229
  [ 4970/5000] 11.1s/img | ETA: 0.1h | Photos: 23277
  [ 4980/5000] 9.8s/img | ETA: 0.0h | Photos: 23321
  [ 4990/5000] 4.2s/img | ETA: 0.0h | Photos: 23367
  [ 5000/5000] 9.5s/img | ETA: 0.0h | Photos: 23410
  ✓ Checkpoint at 5000

✅ COMPLETE in 11.24h
   Train: 4000, Val: 1000, Photos: 23410
